weather,Weather,sky,Sky,skies,Skies
4,clear_diffcult_heavy_rain_temperate_hazard,"Normal visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. The temperature is as expected. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,bright_diffcult_heavy_rain_temperate_hazard,"Brighter than normal. It is raining, snowing, or something similar. The precipitation is particularly heavy. The temperature is as expected. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
1,low_visibility_diffcult_heavy_rain_temperate_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. The temperature is as expected. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
25,clear_cold_hazard,"Normal visibility. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
25,bright_cold_hazard,"Brighter than normal. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,low_visibility_cold_hazard,"Foggy, dark, or otherwise low visibility. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,clear_diffcult_cold_hazard,"Normal visibility. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,bright_diffcult_cold_hazard,"Brighter than normal. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,low_visibility_diffcult_cold_hazard,"Foggy, dark, or otherwise low visibility. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,clear_rain_cold_hazard,"Normal visibility. It is raining, snowing, or something similar. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,bright_rain_cold_hazard,"Brighter than normal. It is raining, snowing, or something similar. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,low_visibility_rain_cold_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,clear_diffcult_rain_cold_hazard,"Normal visibility. It is raining, snowing, or something similar. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,bright_diffcult_rain_cold_hazard,"Brighter than normal. It is raining, snowing, or something similar. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,low_visibility_diffcult_rain_cold_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,clear_heavy_rain_cold_hazard,"Normal visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,bright_heavy_rain_cold_hazard,"Brighter than normal. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,low_visibility_heavy_rain_cold_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,clear_diffcult_heavy_rain_cold_hazard,"Normal visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,bright_diffcult_heavy_rain_cold_hazard,"Brighter than normal. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
1,low_visibility_diffcult_heavy_rain_cold_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is colder than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
25,clear_warm_hazard,"Normal visibility. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
25,bright_warm_hazard,"Brighter than normal. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,low_visibility_warm_hazard,"Foggy, dark, or otherwise low visibility. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,clear_diffcult_warm_hazard,"Normal visibility. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,bright_diffcult_warm_hazard,"Brighter than normal. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,low_visibility_diffcult_warm_hazard,"Foggy, dark, or otherwise low visibility. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,clear_rain_warm_hazard,"Normal visibility. It is raining, snowing, or something similar. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
16,bright_rain_warm_hazard,"Brighter than normal. It is raining, snowing, or something similar. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,low_visibility_rain_warm_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,clear_diffcult_rain_warm_hazard,"Normal visibility. It is raining, snowing, or something similar. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,bright_diffcult_rain_warm_hazard,"Brighter than normal. It is raining, snowing, or something similar. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,low_visibility_diffcult_rain_warm_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,clear_heavy_rain_warm_hazard,"Normal visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
9,bright_heavy_rain_warm_hazard,"Brighter than normal. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,low_visibility_heavy_rain_warm_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,clear_diffcult_heavy_rain_warm_hazard,"Normal visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
4,bright_diffcult_heavy_rain_warm_hazard,"Brighter than normal. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
1,low_visibility_diffcult_heavy_rain_warm_hazard,"Foggy, dark, or otherwise low visibility. It is raining, snowing, or something similar. The precipitation is particularly heavy. It is warmer than normal. Hazards such as lightning, tornadoes, flash floods, wild fires, or magical abnormalities are present.",,,
